date,vac_statut,nb_pcr,nb_pcr_sympt,nb_pcr0,nb_pcr_sympt0,hc,hc_pcr,sc,sc_pcr,dc,dc_pcr,pourcent_parmi_vaccines
2022-01-25,Complet - avec 3 rappels entre 3 et 6 mois ou plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-27,Complet - avec 1 rappel entre 3 mois et 6 mois,20996.63,2636.85,4122.07,1224.1,225.68,171.9,14.45,11.75,31.64,26.26,5.23
2022-01-30,Complet de moins de 3 mois - sans rappel,2776.2,592.62,853.99,343.76,67.94,54.6,11.13,8.72,7.16,5.61,4.26
2022-01-31,Complet entre 3 mois et 6 mois - sans rappel,83274.13,32963.0,40989.6,22781.44,315.26,254.9,19.45,14.71,28.41,23.95,19.56
2022-02-03,Complet - avec 1 rappel de moins de 3 mois,135339.25,37261.12,35333.36,17906.52,585.76,467.62,69.2,54.8,49.54,36.42,58.94
2022-02-04,Complet entre 3 mois et 6 mois - sans rappel,45252.23,16513.34,18237.06,9738.89,220.42,174.34,22.0,16.17,24.65,21.52,17.77
2022-02-04,Complet - avec 1 rappel entre 3 mois et 6 mois,17691.77,2910.39,3857.65,1372.05,250.3,183.01,31.38,22.95,32.65,24.74,6.32
2022-02-09,Complet - avec 3 rappels entre 3 et 6 mois ou plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,Complet de moins de 3 mois - sans rappel,8883.59,2115.3,2150.16,1072.75,86.26,63.32,8.68,6.47,13.0,11.81,4.17
2022-02-15,Complet - avec 2 rappels de moins de 3 mois,844.9,106.26,109.05,39.58,2.77,2.37,0.05,0.0,0.24,0.04,0.36
2022-02-16,Complet de moins de 3 mois - sans rappel,7622.15,1590.36,1646.71,810.76,49.76,36.92,4.97,2.7,5.88,3.0,4.15
2022-02-19,Complet de 6 mois ou plus - sans rappel,12101.9,1682.8,1804.51,787.48,65.85,51.96,8.45,6.66,25.76,21.01,11.69
2022-02-19,Complet - avec 2 rappels de moins de 3 mois,669.37,46.61,55.17,15.66,1.72,1.26,0.01,0.01,0.24,0.04,0.42
2022-02-21,Primo dose efficace,3051.5,515.49,598.24,276.95,30.78,24.26,2.95,1.47,10.93,8.94,1.48
2022-02-21,Complet de 6 mois ou plus - sans rappel,19017.49,3763.94,3700.88,1870.78,91.12,70.55,12.42,8.97,14.45,10.75,11.84
2022-02-25,Non-vaccinés,22243.93,5420.76,5130.79,2597.26,243.6,185.88,28.11,25.1,53.5,41.46,
