dep,hosp_rate_mean,hosp_rate_max,new_hosp_rate_mean,new_hosp_rate_max,rea_rate_mean,rea_rate_max,icu_pressure_mean,icu_pressure_max,cfr_mean,cfr_max,tx_pos_mean,tx_pos_max,tx_pos_7j_mean,couv_complet_max,couv_complet_lag14_mean,population,is_dom
50,30.888187486965588,90.6698,0.38683155136268343,5.7663,1.5738303664921467,5.7663,7.542731308900524,36.8421,19.1233187434555,38.4615,10.488431590656285,51.52,10.501766963292548,85.5,62.817802503477054,502924,0
51,31.646620628272252,69.1122,0.4788685534591195,9.6232,3.218120732984293,12.4227,10.230659371727748,26.0,18.907325,100.0,9.667819799777531,53.85,9.658146617935271,78.3,57.009874826147424,571534,0
52,33.25274314136126,86.352,0.6962358490566039,11.9481,2.330485026178011,12.4912,7.17742670157068,42.8571,21.803311518324605,100.0,12.982213483146067,100.0,12.823767387043805,80.7,59.0606397774687,184130,0
53,14.123881047120419,44.303,0.39063993710691824,6.1894,1.2331062827225132,4.8864,8.183301780104712,33.3333,17.242898324607328,63.6364,12.397407407407407,61.11,12.34420766460088,81.8,59.5749652294854,306977,0
54,29.507862303664922,69.8041,0.40886373165618445,8.3165,4.878692251308901,24.5405,14.980434764397906,54.2857,20.550057591623037,85.7143,9.300066740823137,44.12,9.298632342814768,77.2,56.354520166898475,733481,0
55,31.714286806282722,90.5181,0.593435429769392,13.9259,2.7560096335078534,12.8546,10.09308219895288,50.0,19.790791299790357,31.4286,9.691919191919192,66.67,9.690323428147677,81.0,58.938942976356046,186703,0
56,15.9720522513089,31.7384,0.25669004192872114,2.6559,1.3891652356020943,5.3119,8.483371623036648,35.8974,16.495168821689262,100.0,11.975005561735262,52.24,11.980753456221198,83.9,61.27454798331016,753030,0
57,31.11944104712042,102.6332,0.4202819706498952,12.8411,3.8457181151832462,17.3451,12.433681256544503,27.9279,24.059062669447343,100.0,8.585150166852058,38.24,8.591668123311615,77.0,56.46105702364395,1043522,0
58,28.949902408376964,100.422,0.5945233752620545,17.9157,1.3976175916230367,5.6576,9.207546274921302,100.0,21.884421693121695,75.0,13.441297539149888,72.22,13.474778431060967,82.3,60.45271210013908,212105,0
59,30.582976649214658,64.968,0.31997935010482176,4.1085,4.3607072251308905,13.8998,14.962471204188482,54.4304,17.903522094240838,37.2549,8.807708565072303,28.23,8.80657969172096,77.0,55.90653685674548,2604361,0
60,33.84898356020942,74.3478,0.37746268343815514,7.3984,2.6995178010471204,9.7028,7.748892460732984,23.4043,22.809727404343327,100.0,10.496818687430478,41.43,10.508316568674188,75.7,54.75799721835883,824503,0
61,31.739394994786235,69.8728,0.5323037735849057,8.1165,2.071179895287958,6.3521,7.9688924607329845,36.3636,15.688759371727748,20.4413,10.208442714126807,78.57,10.221722628317178,82.3,60.39499304589708,283372,0
62,22.509339685863875,62.4805,0.26765377358490566,4.0616,3.0230009424083772,10.4924,12.764035392670158,43.0769,18.37348659043659,100.0,10.009577308120134,36.36,9.986103024524605,81.5,59.53991655076495,1477260,0
63,25.74075214659686,57.8974,0.3399577568134172,5.9578,2.5405141361256542,7.7909,11.602939790575917,52.5424,19.19026167539267,23.1984,10.75230255839822,66.67,10.78908567720748,78.1,57.487204450625875,654606,0
64,21.48510722513089,61.2569,0.3235040880503145,4.8361,1.7349364397905758,4.3964,9.36075741324921,39.1892,15.99264937106918,33.3333,11.571557285873192,53.32,11.530623867789608,81.2,59.99304589707928,682372,0
65,27.506218952879582,83.7039,0.6330878406708595,9.4435,2.7975658638743455,8.1558,14.530295807127883,50.0,15.303160988433229,22.5806,9.949461883408071,100.0,9.922634143757616,79.4,58.74659248956885,232964,0
66,24.486083141361256,63.8364,0.4194775681341719,7.3255,2.574061256544503,7.7441,14.452179368421053,100.0,16.862010471204187,62.5,9.619065628476086,53.85,9.586724932464643,77.7,56.86105702364395,477784,0
67,28.403153612565443,99.6838,0.3669246331236897,8.1737,3.999130890052356,25.1431,14.04746827225131,35.2941,18.948727510460248,100.0,8.576384872080089,34.78,8.55824850362837,77.7,56.70319888734353,1125559,0
68,35.0944245026178,143.4903,0.458308071278826,12.4661,3.861264293193717,21.1664,12.76238837696335,36.0,19.692473931178313,100.0,8.695050055617353,34.97,8.677466629588432,73.1,53.17746870653686,770087,0
69,32.52267015706806,103.783,0.4227003144654088,9.4397,5.186843006263048,16.4924,16.047401570680627,32.9268,17.35940134994808,100.0,10.367630700778642,34.15,10.398093913872556,76.0,55.19026425591099,1843270,0
70,21.9282967539267,52.0478,0.5041117400419287,7.4949,2.3173512041884816,9.5768,11.363316842105263,50.0,17.9317603125,100.0,12.265089485458613,100.0,12.279456062291434,78.7,57.53226703755215,240164,0
71,32.067828586387435,98.1252,0.5044637316561845,7.2018,2.385087853403141,9.9025,8.182098534031413,60.0,19.063784375,100.0,12.164171301446052,50.0,12.20581635679856,81.2,59.62823365785813,555413,0
72,20.091007539267014,52.7797,0.369504821802935,5.1191,1.0894331937172774,4.7661,5.566984188481675,23.7624,15.904792879581152,21.6981,11.129232480533927,43.59,11.121377880184331,81.6,59.18915159944367,566506,0
73,24.48659015706806,104.483,0.4955261006289308,10.4483,2.477526882845188,11.1449,10.63657947643979,42.1053,17.515044132917964,100.0,12.34995550611791,62.5,12.403657900312517,78.1,57.14005563282336,430692,0
74,41.810653612565446,162.3807,0.7141377358490566,10.9846,4.574963607924921,22.6855,10.88366722513089,32.5342,15.930898029045643,100.0,11.523581757508344,46.49,11.51713083320091,71.4,51.69471488178025,418769,0
75,42.81841277486911,149.9868,0.4560823899371069,12.3884,8.040929633507854,39.0852,19.284664188481674,36.5782,18.276102513089004,33.5159,6.096340378197997,23.54,6.1006291117114255,82.5,60.539082058414465,2187526,0
76,30.403927841501563,68.8574,0.34861037735849054,5.1802,3.1782432460732983,10.1214,10.81235664921466,33.6364,18.855047510373446,100.0,9.297252502780868,39.12,9.304294109857514,80.6,58.80917941585536,1254767,0
77,24.566078952879582,58.4992,0.3605884696016771,5.1922,4.733003246073299,14.746,19.621234136125658,52.0,17.817358429319373,23.7736,10.316496106785317,35.32,10.337211690237831,74.1,53.48066759388039,1444464,0
78,32.98819905759162,74.4355,0.3325181341719078,7.7914,3.353946492146597,13.4262,11.318201047120418,26.3636,17.701607643979056,50.0,10.14769744160178,38.41,10.166822156893904,77.9,56.62878998609179,1437487,0
79,14.440134869109947,40.1647,0.34713249475890984,6.6498,1.3447219895287958,5.0538,11.824627589852009,50.0,18.401367748691097,44.4444,12.162216035634744,75.0,12.23758138672599,82.4,60.126008344923505,375952,0
80,51.15253842931937,101.0594,0.6214382599580712,12.7299,5.740745759162303,23.1216,10.948603560209424,40.0,22.932177985462097,100.0,9.284193548387096,52.0,9.290824090259019,81.1,59.12127955493741,384922,0
